station name,station ID,swe,serie startet:swe,temperatur,serie startet:temperatur,relative humidity,serie startet:relative humidity,wind direction and speed,serie startet:wind direction and speed,precipitation,serie startet:precipitation,wind speed,serie startet:wind speed,snow depth,serie startet:snow depth,ground water level,serie startet:ground water level,number of features,can download all the features from,additional information,discharge,serie startet:discharge,reservoir volume,serie startet:reservoir volume,stage,serie startet:stage
Øvre Leirbotn,213.7.0,yes,03.01.1999,yes,03.01.1999,no,,no,,no,,no,,no,,no,,2,03.01.1999,None,no,,no,,no,
ØVERBYGD II,196.47.2,yes,23.08.2006,yes,09.07.2004,no,,no,,no,,no,,no,,no,,2,23.08.2006,None,no,,no,,no,
Siccajavvre,212.23.0,yes,01.11.1997,yes,14.11.2006,no,,no,,no,,no,,no,,no,,2,14.11.2006,None,no,,no,,no,
Storstilla ndf,164.12.0,yes,17.10.1997,yes,17.10.1997,no,,no,,no,,no,,no,,no,,2,17.10.1997,None,no,,no,,no,
Namsvatn tunnel,139.4.0,yes,11.10.1997,yes,14.11.1997,no,,no,,no,,no,,no,,no,,2,14.11.1997,None,no,,no,,no,
Svarttjønnbekken Klima,123.93.0,yes,02.01.1970,yes,02.05.1998,yes,22.10.2005,yes,22.10.2005,yes,14.05.1998,yes,22.10.2005,no,,no,,6,22.10.2005,None,no,,no,,no,
Maurhaugen - Oppdal,121.2.0,yes,29.10.1998,yes,29.10.1998,no,,no,,no,,no,,no,,no,,2,29.10.1998,None,no,,no,,no,
Grimsa snøpute,2.373.0,yes,30.10.2007,yes,30.10.2007,no,,no,,no,,no,,no,,no,,2,30.10.2007,None,no,,no,,no,
Anestølen,77.24.0,yes,23.09.2011,yes,23.09.2011,yes,23.09.2011,yes,23.09.2011,yes,23.09.2011,yes,23.09.2011,yes,23.09.2011,yes,23.09.2011,8,23.09.2011,None,no,,no,,no,
Kyrkjestølane,73.11.0,yes,02.10.1967,yes,22.02.1995,yes,18.09.2009,yes,03.09.1998,yes,15.10.1998,yes,03.09.1998,yes,22.09.2009,yes,21.11.1996,8,22.09.2009,precipitation-31.12.2015,no,,no,,no,
Vetlebotn,62.42.0,yes,01.10.2016,yes,01.10.2016,yes,01.10.2016,yes,01.10.2016,no,,yes,01.10.2016,yes,01.10.2016,no,,6,01.10.2016,None,no,,no,,no,
Bakko,12.142.0,yes,02.10.1998,yes,02.10.1998,no,,no,,yes,01.12.2009,no,,yes,27.09.2008,no,,4,01.12.2009,precipitation-05.01.2014,no,,no,,no,
Groset,16.232.14,yes,27.10.2000,no,,no,,no,,no,,no,,no,,no,,1,27.10.2000,None,no,,no,,no,
Brunkollen klima,8.5.0,yes,02.11.1983,yes,23.11.1999,no,,no,,no,,no,,yes,09.12.2004,no,,3,09.12.2004,None,no,,no,,no,
Nedre Sjodalsvatn,2.13.0,no,,yes,01.08.1996,no,,no,,no,,no,,no,,no,,4,01.08.1996,None,yes,16.06.1981,yes,02.02.1930,yes,16.06.1981
Øvre Heimdalsvatn,2.36.0,no,,yes,13.06.1995,no,,yes,13.06.1995,no,,yes,13.06.1995,yes,19.09.2008,no,,6,19.09.2008,swe and precipitation are availiable for short time period,yes,13.06.1995,no,,yes,13.06.1995
